X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,url,urlname,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-5.0398,50.1031,,,,,WPT206,WPT206,WPT206,,,,,,,,,,,,
-5.0373,50.1042,,,,,WPT207,WPT207,WPT207,,,,,,,,,,,,
-5.0345,50.1042,,,,,WPT208,WPT208,WPT208,,,,,,,,,,,,
-5.032,50.1052,,,,,WPT209,WPT209,WPT209,,,,,,,,,,,,
-5.029,50.1053,,,,,WPT210,WPT210,WPT210,,,,,,,,,,,,
-5.0259,50.1057,,,,,WPT211,WPT211,WPT211,,,,,,,,,,,,
-5.0233,50.1066,,,,,WPT212,WPT212,WPT212,,,,,,,,,,,,
-5.021,50.1076,,,,,WPT213,WPT213,WPT213,,,,,,,,,,,,
-5.0185,50.1084,,,,,WPT214,WPT214,WPT214,,,,,,,,,,,,
-5.0159,50.109,,,,,WPT215,WPT215,WPT215,,,,,,,,,,,,
-5.0132,50.1094,,,,,WPT216,WPT216,WPT216,,,,,,,,,,,,
-5.0104,50.1098,,,,,WPT217,WPT217,WPT217,,,,,,,,,,,,
-5.0081,50.1108,,,,,WPT218,WPT218,WPT218,,,,,,,,,,,,
-5.0057,50.1118,,,,,WPT219,WPT219,WPT219,,,,,,,,,,,,
-5.0034,50.1127,,,,,WPT220,WPT220,WPT220,,,,,,,,,,,,
-5.0012,50.1136,,,,,WPT221,WPT221,WPT221,,,,,,,,,,,,
-5.0017,50.1139,,,,,WPT222,WPT222,WPT222,,,,,,,,,,,,
-5.0031,50.1129,,,,,WPT223,WPT223,WPT223,,,,,,,,,,,,
-5.0047,50.1123,,,,,WPT224,WPT224,WPT224,,,,,,,,,,,,
-5.0039,50.1124,,,,,WPT225,WPT225,WPT225,,,,,,,,,,,,
-5.0037,50.1136,,,,,WPT226,WPT226,WPT226,,,,,,,,,,,,
-5.0048,50.1149,,,,,WPT227,WPT227,WPT227,,,,,,,,,,,,
-5.0066,50.1165,,,,,WPT228,WPT228,WPT228,,,,,,,,,,,,
-5.0088,50.1182,,,,,WPT229,WPT229,WPT229,,,,,,,,,,,,
-5.0106,50.12,,,,,WPT230,WPT230,WPT230,,,,,,,,,,,,
-5.0126,50.1218,,,,,WPT231,WPT231,WPT231,,,,,,,,,,,,
-5.0145,50.1237,,,,,WPT232,WPT232,WPT232,,,,,,,,,,,,
-5.0162,50.1256,,,,,WPT233,WPT233,WPT233,,,,,,,,,,,,
-5.018,50.1275,,,,,WPT234,WPT234,WPT234,,,,,,,,,,,,
-5.0198,50.1292,,,,,WPT235,WPT235,WPT235,,,,,,,,,,,,
-5.0214,50.1311,,,,,WPT236,WPT236,WPT236,,,,,,,,,,,,
-5.0234,50.133,,,,,WPT237,WPT237,WPT237,,,,,,,,,,,,
-5.0252,50.1349,,,,,WPT238,WPT238,WPT238,,,,,,,,,,,,
-5.0271,50.1367,,,,,WPT239,WPT239,WPT239,,,,,,,,,,,,
-5.0289,50.1385,,,,,WPT240,WPT240,WPT240,,,,,,,,,,,,
-5.0308,50.1403,,,,,WPT241,WPT241,WPT241,,,,,,,,,,,,
-5.0328,50.1422,,,,,WPT242,WPT242,WPT242,,,,,,,,,,,,
-5.0345,50.1441,,,,,WPT243,WPT243,WPT243,,,,,,,,,,,,
-5.0363,50.1459,,,,,WPT244,WPT244,WPT244,,,,,,,,,,,,
-5.0382,50.1477,,,,,WPT245,WPT245,WPT245,,,,,,,,,,,,
-5.0404,50.1493,,,,,WPT246,WPT246,WPT246,,,,,,,,,,,,
-5.0426,50.1509,,,,,WPT247,WPT247,WPT247,,,,,,,,,,,,
-5.0443,50.1529,,,,,WPT248,WPT248,WPT248,,,,,,,,,,,,
-5.0457,50.1548,,,,,WPT249,WPT249,WPT249,,,,,,,,,,,,
-5.0483,50.1563,,,,,WPT250,WPT250,WPT250,,,,,,,,,,,,
-5.051,50.1577,,,,,WPT251,WPT251,WPT251,,,,,,,,,,,,
-5.0542,50.1582,,,,,WPT252,WPT252,WPT252,,,,,,,,,,,,
-5.0572,50.1585,,,,,WPT253,WPT253,WPT253,,,,,,,,,,,,
-5.0601,50.1587,,,,,WPT254,WPT254,WPT254,,,,,,,,,,,,
-5.0631,50.1588,,,,,WPT255,WPT255,WPT255,,,,,,,,,,,,
-5.066,50.1592,,,,,WPT256,WPT256,WPT256,,,,,,,,,,,,
-5.0685,50.1602,,,,,WPT257,WPT257,WPT257,,,,,,,,,,,,
-5.0706,50.1615,,,,,WPT258,WPT258,WPT258,,,,,,,,,,,,
-5.0724,50.1629,,,,,WPT259,WPT259,WPT259,,,,,,,,,,,,
-5.0747,50.1641,,,,,WPT260,WPT260,WPT260,,,,,,,,,,,,
-5.0772,50.165,,,,,WPT261,WPT261,WPT261,,,,,,,,,,,,
-5.0799,50.1655,,,,,WPT262,WPT262,WPT262,,,,,,,,,,,,
-5.0828,50.1652,,,,,WPT263,WPT263,WPT263,,,,,,,,,,,,
-5.0852,50.165,,,,,WPT264,WPT264,WPT264,,,,,,,,,,,,
